"input","label","raw_url","model_url","canonical_url","primary_category","tld_risk","flags_count","severity_score","flags_bitmask","h_flags_count","h_severity_score","h_flags_bitmask","h_entropy_url","h_entropy_path","h_entropy_query","h_digit_ratio","h_path_depth","h_url_length","h_query_param_count","h_is_ip_host","h_has_https","h_has_fragment","h_tld_risk_normal","h_tld_risk_high","h_tld_risk_critical","h_primary_category","h_domain_length","h_subdomain_count","h_has_punycode","h_punycode_char_count","h_has_unicode","h_unicode_char_ratio","h_mixed_script","h_has_tracking_params","h_tracking_param_count","h_has_double_extension","h_path_token_count","h_has_redirect_param","h_redirect_count","h_has_at_sign","hF_NONE","hF_TYPO","hF_SHOR","hF_PUNY","hF_UNIC","hF_HEXE","hF_IPOR","hF_OBFU","hF_DATA","hF_JAVA","hF_FILE","hF_FTP","hF_BLOB","hF_FRAG","hF_OPEN","hF_LONG","hF_FAKE","hF_CHRO","hF_SUSP","hF_PROX","hF_MOBI","hF_EXCE","hF_REPE","hF_BRAN","hF_DYNA","hF_GEOS","hF_LANG","hF_OBFU2","hF_SESS","hF_SUSP2","hF_SUSP3","hF_MALI","hF_WEBA","hF_STRU","hF_VERY","hF_NONA","hF_CLOU","hF_CRED","hF_MULT","hF_URLP","hF_HOMO","hF_INFI","hF_CAPT","hF_COMP","hF_QUIS","hF_CRYP","hF_DYNA2","hF_EMBE","hF_SUBD","hF_PUBL","hF_LOOK","hF_DISP","hF_URGE","hF_IPFS","hF_TELE","hF_NEST","hF_DOMA","hF_PHIS","hF_PUBD","hF_PROT"
"http://ptonline.com/knowledgecenter/%3cbase64_blob%3epower-quality-analys/","0","ptonline.com/knowledgecenter/power-quality-analysis-and-monitoring/","http://ptonline.com/knowledgecenter/power-quality-analysis-and-monitoring/","http://ptonline.com/knowledgecenter/%3cbase64_blob%3epower-quality-analys/","None","NORMAL","0","0.0","0","0","0.0","0","4.2133","4.1788","0.0","0.0","2","74","0","0","0","0","1","0","0","None","12","0","0","0","0","0.0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"http://lazykat.fr/","0","lazykat.fr","http://lazykat.fr/","http://lazykat.fr/","None","CONTEXTUAL","0","0.0","0","0","0.0","0","3.1219","-0.0","0.0","0.0","0","18","0","0","0","0","0","0","0","None","10","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"http://fujitsu-general.com/global/corporate/message/index.html","0","fujitsu-general.com/global/corporate/message/index.html","http://fujitsu-general.com/global/corporate/message/index.html","http://fujitsu-general.com/global/corporate/message/index.html","None","NORMAL","0","0.0","0","0","0.0","0","4.3035","4.0515","0.0","0.0","4","62","0","0","0","0","1","0","0","None","19","0","0","0","0","0.0","1","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"http://computershare.com/us/_vti_bin/spsdisco.aspx","0","computershare.com/us/_vti_bin/spsdisco.aspx","http://computershare.com/us/_vti_bin/spsdisco.aspx","http://computershare.com/us/_vti_bin/spsdisco.aspx","None","NORMAL","0","0.0","0","0","0.0","0","4.1406","3.7343","0.0","0.0","3","50","0","0","0","0","1","0","0","None","17","0","0","0","0","0.0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"http://freeflyvr.com/","0","freeflyvr.com","http://freeflyvr.com/","http://freeflyvr.com/","None","NORMAL","0","0.0","0","0","0.0","0","3.2389","-0.0","0.0","0.0","0","21","0","0","0","0","1","0","0","None","13","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"http://www.earthskyus.org/2018/update/security_update/index.php?amp%3bemail=abuse%40ekush.com&amp%3bfav.1=&amp%3bfav.1=&amp%3bfid=1&amp%3bfid.1=&amp%3bfid.1252899642=&amp%3bfid.4.1252899642=&amp%3brand.13inboxlight.aspxn.1774256418=&rand=13inboxlightaspxn.1774256418","1","http://www.earthskyus.org/2018/update/security_update/index.php?rand=13InboxLightaspxn.1774256418&amp;fid.4.1252899642&amp;fid=1&amp;fav.1&amp;rand.13InboxLight.aspxn.1774256418&amp;fid.1252899642&amp;fid.1&amp;fav.1&amp;email=abuse@ekush.com","http://www.earthskyus.org/2018/update/security_update/index.php?rand=13inboxlightaspxn.1774256418&amp%3bfid.4.1252899642&amp%3bfid=1&amp%3bfav.1&amp%3brand.13inboxlight.aspxn.1774256418&amp%3bfid.1252899642&amp%3bfid.1&amp%3bfav.1&amp%3bemail=abuse%40ekush.com","http://www.earthskyus.org/2018/update/security_update/index.php?amp%3bemail=abuse%40ekush.com&amp%3bfav.1=&amp%3bfav.1=&amp%3bfid=1&amp%3bfid.1=&amp%3bfid.1252899642=&amp%3bfid.4.1252899642=&amp%3brand.13inboxlight.aspxn.1774256418=&rand=13inboxlightaspxn.1774256418","IsSuspiciousFileType","NORMAL","6","17.0","576460762506100736","6","17.0","576460762506100736","5.0484","4.1357","0.8653","0.219","4","266","8","0","0","0","1","0","0","IsSuspiciousFileType","18","1","0","0","0","0.0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"http://litopia21.com/morningform/file/update/14","1","http://litopia21.com/morningform/file/update/14","http://litopia21.com/morningform/file/update/14","http://litopia21.com/morningform/file/update/14","IsSuspiciousKeyword","NORMAL","1","2.0","1073741824","1","2.0","1073741824","4.2137","3.9401","0.0","0.0851","4","47","0","0","0","0","1","0","0","IsSuspiciousKeyword","13","0","0","0","0","0.0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"http://brainsync.com/brain-states/gamma.html","0","brainsync.com/brain-states/gamma.html","http://brainsync.com/brain-states/gamma.html","http://brainsync.com/brain-states/gamma.html","None","NORMAL","0","0.0","0","0","0.0","0","3.9696","3.6887","0.0","0.0","2","44","0","0","0","0","1","0","0","None","13","0","0","0","0","0.0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"http://cslea.com/","0","cslea.com","http://cslea.com/","http://cslea.com/","None","NORMAL","0","0.0","0","0","0.0","0","2.9477","-0.0","0.0","0.0","0","17","0","0","0","0","1","0","0","None","9","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"http://yournorthland.com/","0","yournorthland.com","http://yournorthland.com/","http://yournorthland.com/","None","NORMAL","0","0.0","0","0","0.0","0","3.5725","-0.0","0.0","0.0","0","25","0","0","0","0","1","0","0","None","17","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
